"value","trial_type","trial_index","time_elapsed","internal_node_id","id","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","view_history","rt","stimulus","trial_info","success","response","inducer_run","diagnostic_run","inducer_trial","italic","correct_diag_response_side","correct_response_key","correct_response","correct_indu_response_side","correct_inducer_response_side","congruent","accuracy","open_feedback","interactive"
"","call-function","0","2","0.0-0.0","34syh0hh","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1009","0.0-1.0","34syh0hh","1920","953","true","chrome","121.0.0","false","Windows 10","true","60.02","true","true","","","","","","","","","","","","","","","","","","",""
"","instructions","2","40031","0.0-2.0","34syh0hh","","","","","","","","","","","","[{""page_index"":0,""viewing_time"":15285},{""page_index"":1,""viewing_time"":19128},{""page_index"":2,""viewing_time"":4608}]","39022","The experiment and consent","The experiment and consent","","","","","","","","","","","","","","",""
"","fullscreen","3","49236","0.0-3.0","34syh0hh","1920","1080","","","","","","","","","","","8196","","Full screen","true","","","","","","","","","","","","","",""
"","instructions","4","75988","0.0-4.0","34syh0hh","1920","1080","","","","","","","","","","[{""page_index"":0,""viewing_time"":16118},{""page_index"":1,""viewing_time"":10632}]","26750","Instructions","Basic overview explanation","","","","","","","","","","","","","","",""
"","html-keyboard-response","5","97149","0.0-5.0","34syh0hh","1920","1080","","","","","","","","","","","19641","If italic press LEFT | If upright press RIGHT","Diagnostic instructions",""," ","","","","","","","","","","","","",""
"","html-keyboard-response","6","97904","0.0-6.0","34syh0hh","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","7","101524","0.0-7.0","34syh0hh","1920","1080","","","","","","","","","","","3619","uus","Practice diganostic trial","","f","practice","0","false","1","LEFT","f","1","","","","","",""
"","html-keyboard-response","8","102284","0.0-10.0","34syh0hh","1920","1080","","","","","","","","","","","null","+","Fixation - short","","null","","","","","","","","","","","","",""
"","html-keyboard-response","9","102557","0.0-11.0","34syh0hh","1920","1080","","","","","","","","","","","272","uus","Practice diganostic trial","","j","practice","1","false","0","RIGHT","j","1","","","","","",""
